MAPNAME,DESCR,MAINROCK,SIMPLENAME,KEYGRPNAME,TEXTCODE,FlowchartGroup
Punakitere Sandstone (Mangakahia Complex) in Northland Allochthon,Weakly indurated metre bedded quartzose  micaceous sandstone  with minor conglomerate  and interbeds of blue grey mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkp,Group 15
Waipapa Group melange (Waipapa Composite Terrane),Melange zones.,melange,Basement (Eastern Province) melange,Waipapa Composite Terrane,TJm,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
Whangai Formation (Mangakahia Complex) in Northland Allochthon,Fissile  dark grey to white weathering siliceous mudstone  blue grey calcareous mudstone  and minor micritic limestone and chert. Minor black carbonaceous shale (Waipawa Black Shale).,mudstone,Allochthonous rocks,Northland Allochthon,Kkw,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Undifferentiated Tangihua Complex breccia in Northland Allochthon,Poorly sorted  polymict igneous breccia of basalt  dolerite and gabbro  with minor intercalated volcaniclastic sandstone and tuff.,breccia,Allochthonous rocks,Northland Allochthon,Ktp,Group 15
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
OIS5+ (Early Pleistocene to Middle Pleistocene) dune deposits,Uncemented to moderately cemented and partly consolidated sand in coastal foredunes. Clay rich sandy soils.,sand,Early Pleistocene   Middle Pleistocene windblown deposits,Early Pleistocene   Middle Pleistocene sediments,eQd,Group 09
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Punakitere Sandstone (Mangakahia Complex) in Northland Allochthon,Weakly to moderately indurated  alternating thin  to thick bedded  quartzofeldspathic sandstone and mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkp,Group 15
Punakitere Sandstone (Mangakahia Complex) in Northland Allochthon,Weakly to moderately indurated  alternating thin  to thick bedded  quartzofeldspathic sandstone and mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkp,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
OIS6+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated mud  sand  gravel and peat or lignite of alluvial  colluvial  lacustrine  swamp and estuarine origins.,mud,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Waipapa Group melange (Waipapa Composite Terrane),Melange zones.,melange,Basement (Eastern Province) melange,Waipapa Composite Terrane,TJm,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Waipapa Group melange (Waipapa Composite Terrane),Melange zones.,melange,Basement (Eastern Province) melange,Waipapa Composite Terrane,TJm,Group 15
