mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS4 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
OIS3 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS4 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
OIS1 (Holocene) dune deposits,Sand dunes.,sand,Holocene windblown deposits,Holocene sediments,Q1d,09_dune
Mead Hill Formation (Muzzle Group),Strongly indurated  greenish grey  micritic limestone  calcareous mudstone and black siliceous chert.,chert,Late Cretaceous sedimentary rocks,Muzzle Group,Kzm,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Amuri Formation (Muzzle and Eyre groups),Pale  creamy  hard  siliceous  micritic limestone locally interbedded with siltstone  marl  sandstone  chert or greensand  locally pink.,limestone,Paleogene sedimentary rocks,Muzzle Group and Eyre Group,Pza,19_undifSed
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Weka Pass Limestone Member of Omihi Formation (Motunau Group),Limestone and calcareous mudstone with basal greensand.,limestone,Paleogene   Neogene sedimentary rocks,Motunau Group,Onl,19_undifSed
Undifferentiated Seymour Group sandstone,Fine grained sandstone  commonly sulphurous muddy siltstone  conglomerate  micritic limestone and turbidites.,sandstone,Late Cretaceous sedimentary rocks,Seymour Group,Ky,19_undifSed
Esk Head melange (Kaweka Terrane),Deformed sandstone  minor mudstone  coloured mudstone  limestone  and basalt commonly as broken formation or melange.,sandstone,Basement (Eastern Province) melange,Kaweka Terrane,Tem,19_undifSed
OIS4 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS4 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
Grasseed Volcanics (Muzzle Group),Intrusive and extrusive igneous rocks  including dikes  flows  sills  pillow lavas and agglomerate of peridotite  gabbro  dolerite and basalt.,basalt,Paleogene igneous rocks,Muzzle Group,Pza,17_igneous
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
OIS4 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Undifferentiated Seymour Group sandstone,Fine grained sandstone  commonly sulphurous muddy siltstone  conglomerate  micritic limestone and turbidites.,sandstone,Late Cretaceous sedimentary rocks,Seymour Group,Ky,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Lookout Formation (Wallow Group),Pebble conglomerate and coal measures overlain by trachybasalt and trachyandesite flows  volcanic conglomerates  sandstone and limestone.,basalt,Late Cretaceous igneous rocks,Wallow Group,Kwl,17_igneous
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Pahau sandstone and mudstone,Thick  poorly bedded sandstone  well bedded  commonly graded sandstone and mudstone with minor volcanic rocks.,sandstone,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktp,19_undifSed
Amuri Formation (Muzzle and Eyre groups),Pale  creamy  hard  siliceous  micritic limestone locally interbedded with siltstone  marl  sandstone  chert or greensand  locally pink.,limestone,Paleogene sedimentary rocks,Muzzle Group and Eyre Group,Pza,19_undifSed
Grasseed Volcanics (Muzzle Group),Intrusive and extrusive igneous rocks  including dikes  flows  sills  pillow lavas and agglomerate of peridotite  gabbro  dolerite and basalt.,basalt,Paleogene igneous rocks,Muzzle Group,Pza,17_igneous
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated poorly sorted gravels forming alluvial fans and colluvial deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS1 (Holocene) river deposits,River gravel and sand  including modern river beds.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Amuri Formation (Muzzle and Eyre groups),Pale  creamy  hard  siliceous  micritic limestone locally interbedded with siltstone  marl  sandstone  chert or greensand  locally pink.,limestone,Paleogene sedimentary rocks,Muzzle Group and Eyre Group,Pza,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) river deposits,River gravel and sand  including modern river beds.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS3 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  mud  and beach ridges.,gravel,Holocene shoreline deposits,Holocene sediments,Q1b,08_beach
OIS4 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
OIS1 (Holocene) swamp deposits,Swamp deposits consisting of poorly consolidated sand mud and peat.,peat,Holocene swamp deposits,Holocene sediments,Q1a,01_peat
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Waima Formation (Motunau Group),Massive to poorly bedded  bluish grey calcareous silty mudstone  in the north includes lenses of poorly sorted pebble to boulder conglomerate.,siltstone,Neogene sedimentary rocks,Motunau Group,Mnw,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated poorly sorted gravels forming alluvial fans and colluvial deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
Mead Hill Formation (Muzzle Group),Strongly indurated  greenish grey  micritic limestone  calcareous mudstone and black siliceous chert.,chert,Late Cretaceous sedimentary rocks,Muzzle Group,Kzm,19_undifSed
OIS4 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Undifferentiated Seymour Group sandstone,Fine grained sandstone  commonly sulphurous muddy siltstone  conglomerate  micritic limestone and turbidites.,sandstone,Late Cretaceous sedimentary rocks,Seymour Group,Ky,19_undifSed
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Paton Formation (Seymour Group),Glauconitic  bioturbated  fine to medium grained  graded bedded sandstone.,sandstone,Late Cretaceous sedimentary rocks,Seymour Group,Kyp,19_undifSed
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated poorly sorted gravels forming alluvial fans and colluvial deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Undifferentiated Muzzle Group limestone,Undifferentiated indurated micritic limestone  calcareous mudstone and chert.,limestone,Late Cretaceous sedimentary rocks,Muzzle Group,KPz,19_undifSed
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated poorly sorted gravels forming alluvial fans and colluvial deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated poorly sorted gravels forming alluvial fans and colluvial deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated poorly sorted gravels forming alluvial fans and colluvial deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
OIS1 (Holocene) river deposits,River gravel and sand  including modern river beds.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) river deposits,River gravel and sand  including modern river beds.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Nidd Formation (Hapuku Group),Faintly bedded  purple brown siltstone to very fine sandstone  commonly glauconitic and burrowed.,siltstone,Late Cretaceous sedimentary rocks,Hapuku Group,Kh,19_undifSed
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
OIS1 (Holocene) dune deposits,Sand dunes.,sand,Holocene windblown deposits,Holocene sediments,Q1d,09_dune
Winterton Formation (Coverham Group),Moderately indurated  mildly deformed conglomerate and siltstone.,siltstone,Late Cretaceous sedimentary rocks,Coverham Group,Kcw,19_undifSed
Split Rock Formation (Coverham Group),Mass flow conglomerate  siltstone and mudstone  sandstone and interbedded sandstone and mudstone.,sandstone,Late Cretaceous sedimentary rocks,Coverham Group,Kcs,19_undifSed
OIS2 (Late Pleistocene) fan deposits,Poorly sorted steep fan gravel deposits.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Burnt Creek Formation (Hapuku Group),Poorly sorted  clast supported conglomerate  pebbly mudstone  sandstone and alternating sandstone siltstone.,conglomerate,Late Cretaceous sedimentary rocks,Hapuku Group,Kh,19_undifSed
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
OIS1 (Holocene) landslide deposits,Earthflow deposits containing poorly sorted clasts up to boulder size in a clay matrix.,boulders,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) river deposits,River gravel and sand  including modern river beds.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) scree deposits,Postglacial scree deposits.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,99_unknown
Waima Formation (Motunau Group),Massive to poorly bedded  bluish grey calcareous silty mudstone  in the north includes lenses of poorly sorted pebble to boulder conglomerate.,siltstone,Neogene sedimentary rocks,Motunau Group,Mnw,19_undifSed
